Portfolio,Scenario,Price Change (%),Duration,Convexity
conservative,COVID_Crisis_2020,0.5510969447134865,2.047832658845144,8.9726950512701
conservative,Inflation_Hike_2022,-7.265505244721468,2.047832658845144,8.9726950512701
conservative,Parallel_Up_100bps,-2.00392539313633,2.047832658845144,8.9726950512701
conservative,Bull_Steepener_100bps,-0.2672855133320841,2.047832658845144,8.9726950512701
conservative,Bear_Flattener_100bps,-1.7487723599655485,2.047832658845144,8.9726950512701
conservative,Inversion_100bps,-0.3866529555131785,2.047832658845144,8.9726950512701
conservative,CIR_Simulation_100,-0.06276875379491922,2.047832658845144,8.9726950512701
balanced,COVID_Crisis_2020,-1.8199711302948778,4.876759318624132,41.33019994956647
balanced,Inflation_Hike_2022,-14.664542398131381,4.876759318624132,41.33019994956647
balanced,Parallel_Up_100bps,-4.677246976823608,4.876759318624132,41.33019994956647
balanced,Bull_Steepener_100bps,-1.3661177538144382,4.876759318624132,41.33019994956647
balanced,Bear_Flattener_100bps,-3.394400146257078,4.876759318624132,41.33019994956647
balanced,Inversion_100bps,4.56950824339473,4.876759318624132,41.33019994956647
balanced,CIR_Simulation_100,-0.2790845262687579,4.876759318624132,41.33019994956647
aggressive,COVID_Crisis_2020,-18.85978148033335,6.655417704483783,65.08288798969387
aggressive,Inflation_Hike_2022,-22.875297103854656,6.655417704483783,65.08288798969387
aggressive,Parallel_Up_100bps,-6.342056751406646,6.655417704483783,65.08288798969387
aggressive,Bull_Steepener_100bps,-2.1799596413210414,6.655417704483783,65.08288798969387
aggressive,Bear_Flattener_100bps,-4.300598624613221,6.655417704483783,65.08288798969387
aggressive,Inversion_100bps,8.982774256559486,6.655417704483783,65.08288798969387
aggressive,CIR_Simulation_100,-0.372607807670605,6.655417704483783,65.08288798969387
barbell,COVID_Crisis_2020,-0.8558334219207073,5.370045653657917,49.13749160199777
barbell,Inflation_Hike_2022,-15.468914565817746,5.370045653657917,49.13749160199777
barbell,Parallel_Up_100bps,-5.133245300163337,5.370045653657917,49.13749160199777
barbell,Bull_Steepener_100bps,-1.635795549212627,5.370045653657917,49.13749160199777
barbell,Bear_Flattener_100bps,-3.6001110149242876,5.370045653657917,49.13749160199777
barbell,Inversion_100bps,6.2412241426941115,5.370045653657917,49.13749160199777
barbell,CIR_Simulation_100,-0.30409843756857624,5.370045653657917,49.13749160199777
